rank,team_name,avatar_url,highest_kaggle_rank,score,submit_times,last_submit
1,Electric Weasle,https://storage.googleapis.com/kaggle-avatars/thumbnails/69150-kg.jpg?t=2023-10-24-20-21-56,contributor,0.25,10,10mo
2,Dmitriy Guller,https://storage.googleapis.com/kaggle-avatars/thumbnails/217822-kg.png,master,0.25,6,10mo
3,FabienPv,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,14,10mo
4,지스트파이팅,https://storage.googleapis.com/kaggle-avatars/thumbnails/17590693-gr.jpg,other,0.25,17,10mo
5,ZhuJingnan,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,22,10mo
6,Sebastian Dirndorfer,https://storage.googleapis.com/kaggle-avatars/thumbnails/7341746-kg.jpg,contributor,0.25,17,10mo
7,Sercan Yeşilöz,https://storage.googleapis.com/kaggle-avatars/thumbnails/2926451-kg.jpg?t=2024-09-19-21-17-28,master,0.25,50,10mo
8,Jorge López,https://storage.googleapis.com/kaggle-avatars/thumbnails/16445855-kg.jpg?t=2023-10-16-14-11-08,contributor,0.25,19,10mo
9,aldparis,https://storage.googleapis.com/kaggle-avatars/thumbnails/275525-kg.jpg,expert,0.25,5,10mo
10,Yan Teixeira,https://storage.googleapis.com/kaggle-avatars/thumbnails/13062964-kg.jpeg?t=2024-06-03-11-40-53,master,0.25,47,10mo
11,Just4Fun,https://storage.googleapis.com/kaggle-avatars/thumbnails/17124588-kg.jpeg?t=2024-07-09-23-07-55,contributor,0.25,20,10mo
12,Laurent Pourchot,https://storage.googleapis.com/kaggle-avatars/thumbnails/6191256-kg.jpg,master,0.25,37,10mo
13,paddykb,https://storage.googleapis.com/kaggle-avatars/thumbnails/175917-kg.jpg,master,0.25,3,10mo
14,Daniel Popov,https://storage.googleapis.com/kaggle-avatars/thumbnails/5394137-kg.png?t=2023-11-11-07-58-38,contributor,0.25,55,10mo
15,HAFIZ MUHAMMAD IMRAN KHAN,https://storage.googleapis.com/kaggle-avatars/thumbnails/4461810-kg.jpg?t=2023-11-18-13-15-56,contributor,0.25,14,10mo
16,BrainAI_hwlee,https://storage.googleapis.com/kaggle-avatars/thumbnails/11320172-kg.jpg,expert,0.25,32,10mo
17,Agnieszka Ziegert,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,1,10mo
18,xy,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,5,10mo
19,Anil Yagiz,https://storage.googleapis.com/kaggle-avatars/thumbnails/10622259-kg.jpg?t=2024-05-03-12-07-06,expert,0.25,5,10mo
20,JATIN CHAWDA,https://storage.googleapis.com/kaggle-avatars/thumbnails/3963165-kg.jpeg?t=2024-02-12-15-44-01,expert,0.25,27,10mo
21,blameitonthemoon,https://storage.googleapis.com/kaggle-avatars/thumbnails/17331874-kg.jpg?t=2023-11-24-09-28-57,contributor,0.25,4,10mo
22,google-pirates,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,27,10mo
23,OminousDude,https://storage.googleapis.com/kaggle-avatars/thumbnails/8531166-kg.jpeg?t=2024-05-30-15-54-27,expert,0.25,61,10mo
24,t_murmt,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,13,10mo
25,bestwater,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,expert,0.25,63,10mo
26,Hanzhang Fang,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,5,10mo
27,e_landeros,https://storage.googleapis.com/kaggle-avatars/thumbnails/859488-kg.jpeg,expert,0.25,18,10mo
28,[Deleted] 8fa15e1e-4710-45cd-a62d-8b8aae11e4a3,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,63,10mo
29,Ale uy,https://storage.googleapis.com/kaggle-avatars/thumbnails/2708643-kg.JPG?t=2023-09-29-14-34-01,expert,0.25,71,10mo
30,MLDL Project,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,35,10mo
31,Ravi Ramakrishnan,https://storage.googleapis.com/kaggle-avatars/thumbnails/8273630-kg.JPG?t=2024-03-26-14-51-52,grand master,0.25,28,10mo
32,higo_DM2,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,22,10mo
33,musioy,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,23,10mo
34,Sang Nguyen,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,4,10mo
35,liwei,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,19,10mo
36,YangAoTian,https://storage.googleapis.com/kaggle-avatars/thumbnails/10594563-kg.png?t=2024-08-06-13-07-04,expert,0.25,69,10mo
37,MAOK-Yongsuk,https://storage.googleapis.com/kaggle-avatars/thumbnails/12106969-kg.png,master,0.25,31,10mo
38,tuttiii,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,expert,0.25,5,10mo
39,Hamachi,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,57,10mo
40,qpuch,https://storage.googleapis.com/kaggle-avatars/thumbnails/15903948-kg.jpg?t=2023-11-24-01-37-39,other,0.25,10,10mo
41,Den TTT,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,1,10mo
42,Sreya reddy,https://storage.googleapis.com/kaggle-avatars/thumbnails/5237096-kg.jpg,contributor,0.25,3,10mo
43,Eishkaran Singh,https://storage.googleapis.com/kaggle-avatars/thumbnails/12605415-kg.jpeg,master,0.25,8,10mo
44,HaoQingSong,https://storage.googleapis.com/kaggle-avatars/thumbnails/9506739-kg.jpg,contributor,0.25,7,10mo
45,Shane Simon,https://storage.googleapis.com/kaggle-avatars/thumbnails/12236136-kg.jpg?t=2023-10-08-11-51-35,expert,0.25,50,10mo
46,1day1submit,https://storage.googleapis.com/kaggle-avatars/thumbnails/14994367-kg.jpg,other,0.25,5,10mo
47,pc1975,https://storage.googleapis.com/kaggle-avatars/thumbnails/4701119-kg.jpeg,contributor,0.25,4,10mo
48,Neha,https://storage.googleapis.com/kaggle-avatars/thumbnails/4393104-kg.jpg,contributor,0.25,13,10mo
49,kgrou0,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,5,10mo
50,norm,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,15,10mo
51,Ryo Asashi,https://storage.googleapis.com/kaggle-avatars/thumbnails/4701871-kg.jpg,expert,0.25,6,10mo
52,AbduIIah AItay,https://storage.googleapis.com/kaggle-avatars/thumbnails/5007706-kg.jpg,contributor,0.25,12,10mo
53,Mateusz Kowalczyk,https://storage.googleapis.com/kaggle-avatars/thumbnails/13251128-kg.jpg?t=2024-05-14-20-03-44,master,0.25,21,10mo
54,Rique,https://storage.googleapis.com/kaggle-avatars/thumbnails/17415747-kg.jpeg?t=2023-12-10-18-02-00,contributor,0.25,9,10mo
55,Cards,https://storage.googleapis.com/kaggle-avatars/thumbnails/4398416-kg.jpg,expert,0.25,15,10mo
56,Ethan S. Lee,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,1,10mo
57,Alex Dstory,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,15,10mo
58,Ludus Magnus,https://storage.googleapis.com/kaggle-avatars/thumbnails/4965276-kg.jpg,expert,0.25,30,10mo
59,Jotaro,https://storage.googleapis.com/kaggle-avatars/thumbnails/1068780-gr.jpg,expert,0.25,3,10mo
60,CheeseGue,https://storage.googleapis.com/kaggle-avatars/thumbnails/15931444-kg.png?t=2024-02-22-05-19-50,expert,0.25,7,10mo
61,Carryou,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,1,10mo
62,JunsuJeong,https://storage.googleapis.com/kaggle-avatars/thumbnails/4329379-kg.jpg?t=2023-12-01-04-38-52,contributor,0.25,40,10mo
63,Semih Günak,https://storage.googleapis.com/kaggle-avatars/thumbnails/15714431-kg.jpg?t=2023-10-23-11-26-37,expert,0.25,7,10mo
64,Satya,https://storage.googleapis.com/kaggle-avatars/thumbnails/8185869-kg.jpg?t=2024-09-04-10-00-37,grand master,0.25,50,10mo
65,Mathurin Aché,https://storage.googleapis.com/kaggle-avatars/thumbnails/18463-kg.png,grand master,0.25,19,10mo
66,Spiritmilk,https://storage.googleapis.com/kaggle-avatars/thumbnails/8060745-kg.jpg,expert,0.25,5,10mo
67,Syed Subahani,https://storage.googleapis.com/kaggle-avatars/thumbnails/16365312-kg.jpg?t=2023-11-15-17-26-22,contributor,0.25,25,10mo
68,M V Vignesh,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,other,0.25,2,10mo
69,🇵🇸 Morpheus 🇵🇸,https://storage.googleapis.com/kaggle-avatars/thumbnails/16658462-kg.jpeg?t=2023-11-11-06-28-12,contributor,0.25,5,10mo
70,Deepika Chavan,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,2,10mo
71,mexwell,https://storage.googleapis.com/kaggle-avatars/thumbnails/3952497-kg.jpeg?t=2023-09-10-11-32-10,expert,0.25,7,10mo
72,Izzan S. A.,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,expert,0.25,6,10mo
73,Amihua,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.25,8,10mo
