rank,team_name,avatar_url,highest_kaggle_rank,score,submit_times,last_submit
1,Chinmaya,https://storage.googleapis.com/kaggle-avatars/thumbnails/6064288-kg.jpeg?t=2023-11-14-05-08-34,contributor,0.29813,30,13h
2,Laurent Pourchot,https://storage.googleapis.com/kaggle-avatars/thumbnails/6191256-kg.jpg,master,0.3,16,6h
3,FabienPv,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.3,9,13h
4,noobs,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.30044,2,7h
5,liuyifan233,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.30095,8,6h
6,Moatasem sharaf,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.30242,20,2h
7,Yan Teixeira,https://storage.googleapis.com/kaggle-avatars/thumbnails/13062964-kg.jpeg,expert,0.30444,22,11h
8,YangAoTian,https://storage.googleapis.com/kaggle-avatars/thumbnails/10594563-kg.jpg?t=2023-11-10-08-38-30,contributor,0.31227,22,6h
9,Ravi Ramakrishnan,https://storage.googleapis.com/kaggle-avatars/thumbnails/8273630-kg.jpg,grand master,0.31227,17,1d
10,BrainAI_hwlee,https://storage.googleapis.com/kaggle-avatars/thumbnails/11320172-kg.jpg,contributor,0.31227,20,8h
11,Anil Yagiz,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.31227,2,21h
12,Guan Lin Tao,https://storage.googleapis.com/kaggle-avatars/thumbnails/11320249-kg.jpg?t=2023-10-12-15-42-44,expert,0.31227,11,6h
15,Umair Zia,https://storage.googleapis.com/kaggle-avatars/thumbnails/16064013-kg.jpg,contributor,0.31227,8,4h
16,Mathurin Aché,https://storage.googleapis.com/kaggle-avatars/thumbnails/18463-kg.png,grand master,0.31227,11,3h
17,HaoQingSong,https://storage.googleapis.com/kaggle-avatars/thumbnails/9506739-kg.jpg,contributor,0.31227,5,2h
18,Demian2435,https://storage.googleapis.com/kaggle-avatars/thumbnails/16101251-gr.jpg,contributor,0.31282,6,41m
19,Gyojoon Gu,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.31348,4,5h
20,YZ,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.31391,15,8h
21,Kei.Shibata,https://storage.googleapis.com/kaggle-avatars/thumbnails/12024133-kg.png?t=2023-10-22-14-47-25,expert,0.31809,6,3h
22,Master Jiraiya,https://storage.googleapis.com/kaggle-avatars/thumbnails/13738648-kg.jpg?t=2023-09-11-13-01-47,master,0.31881,20,3h
23,Ayoola Okunlola,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.32336,13,3h
24,Hyunguen,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,novice,0.32689,1,2h
25,Coffeethefifth,https://storage.googleapis.com/kaggle-avatars/thumbnails/3025820-kg.jpg?t=2023-11-08-12-14-32,contributor,0.32962,22,1d
26,ITASps,https://storage.googleapis.com/kaggle-avatars/thumbnails/13468784-kg.jpeg?t=2023-11-02-12-00-23,contributor,0.33213,20,13h
27,Ben Deng,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.33454,8,1h
28,wnmgrn,https://storage.googleapis.com/kaggle-avatars/thumbnails/default-thumb.png,contributor,0.3351,16,3h
